# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3008, i.e. number of multipoles equal to 3007
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   58       1.586163577110e+03       1.930336159568e-01       0.000000000000e+00      -1.348401544658e+00       1.293223521226e-07       6.991676745422e-04      -1.042510179002e-06 
   59       1.607757515318e+03       2.032817953992e-01       0.000000000000e+00      -1.644415064779e+00       1.287391335341e-07       6.872389731487e-04      -1.117959865382e-06 
   60       1.629567328686e+03       2.138160419663e-01       0.000000000000e+00      -1.953984665151e+00       1.281464090370e-07       6.756934930191e-04      -1.186494555083e-06 
   61       1.651584699320e+03       2.246330443802e-01       0.000000000000e+00      -2.277310629821e+00       1.275240212680e-07       6.643921426314e-04      -1.239260602056e-06 
   62       1.673819317938e+03       2.357292331291e-01       0.000000000000e+00      -2.614353003852e+00       1.268812907361e-07       6.533567217947e-04      -1.275239479060e-06 
   63       1.696281887680e+03       2.471005942920e-01       0.000000000000e+00      -2.964986967050e+00       1.262330458546e-07       6.426373942297e-04      -1.296026252727e-06 
   64       1.718977661018e+03       2.587425946199e-01       0.000000000000e+00      -3.329059300408e+00       1.255892414445e-07       6.322597453471e-04      -1.303860171735e-06 
   65       1.741906053436e+03       2.706501708030e-01       0.000000000000e+00      -3.706387790657e+00       1.249537524575e-07       6.222214271976e-04      -1.301684324159e-06 
   66       1.765060257116e+03       2.828177187376e-01       0.000000000000e+00      -4.096760634811e+00       1.243230662791e-07       6.124886716608e-04      -1.293207282327e-06 
   67       1.788426854616e+03       2.952390827936e-01       0.000000000000e+00      -4.499935844722e+00       1.236848703827e-07       6.029926718709e-04      -1.282966735208e-06 
   68       1.811992294040e+03       3.079076587156e-01       0.000000000000e+00      -4.915668750770e+00       1.230241559522e-07       5.936582344084e-04      -1.275363045847e-06 
   69       1.835764701633e+03       3.208167505291e-01       0.000000000000e+00      -5.343802315428e+00       1.223480985504e-07       5.845086246516e-04      -1.271263748678e-06 
   70       1.859755815299e+03       3.339592670041e-01       0.000000000000e+00      -5.784194133991e+00       1.216683536645e-07       5.755856402227e-04      -1.270491062072e-06 
   71       1.883974307133e+03       3.473276067341e-01       0.000000000000e+00      -6.236690075585e+00       1.209936611320e-07       5.669183778832e-04      -1.272756242175e-06 
   72       1.908425572590e+03       3.609136503093e-01       0.000000000000e+00      -6.701124406365e+00       1.203291712487e-07       5.585215875218e-04      -1.277649340258e-06 
   73       1.933111519652e+03       3.747087524900e-01       0.000000000000e+00      -7.177319912712e+00       1.196757194053e-07       5.503939669691e-04      -1.284628635511e-06 
   74       1.958030357998e+03       3.887037343803e-01       0.000000000000e+00      -7.665088024430e+00       1.190290477674e-07       5.425163976405e-04      -1.293009743286e-06 
   75       1.983176388170e+03       4.028888756013e-01       0.000000000000e+00      -8.164228937943e+00       1.183789725143e-07       5.348501210060e-04      -1.301954398782e-06 
   76       2.008543713629e+03       4.172540852285e-01       0.000000000000e+00      -8.674521919251e+00       1.177138874577e-07       5.273524198957e-04      -1.310614750055e-06 
   77       2.034138624437e+03       4.317894678895e-01       0.000000000000e+00      -9.195693898985e+00       1.170382951795e-07       5.200329515119e-04      -1.318638527261e-06 
   78       2.059969099247e+03       4.464848471572e-01       0.000000000000e+00      -9.727445347723e+00       1.163599571035e-07       5.129093169492e-04      -1.325780404310e-06 
   79       2.086040954485e+03       4.613295918507e-01       0.000000000000e+00      -1.026945951128e+01       1.156846766538e-07       5.059898876546e-04      -1.331755393814e-06 
   80       2.112357713952e+03       4.763126118747e-01       0.000000000000e+00      -1.082140233251e+01       1.150159064874e-07       4.992728230469e-04      -1.336236095984e-06 
   81       2.138920478439e+03       4.914223540579e-01       0.000000000000e+00      -1.138292237318e+01       1.143543289960e-07       4.927450572135e-04      -1.338849873603e-06 
