# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2508, i.e. number of multipoles equal to 2507
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   42       1.268018664781e+03       6.954435068851e-02       5.722932340462e-04       1.627067304375e+00       1.370809753968e-07       9.589243893411e-04      -4.222334676179e-07 
   43       1.286580041149e+03       7.514688875843e-02       5.998628441306e-04       1.532134743549e+00       1.367592073256e-07       9.379755646550e-04      -4.128698983596e-07 
   44       1.305327038710e+03       8.102915466697e-02       6.280748004689e-04       1.426307207764e+00       1.364114564644e-07       9.178474936746e-04      -4.323788113840e-07 
   45       1.324245281583e+03       8.719494841533e-02       6.569297257354e-04       1.309828432852e+00       1.360102210532e-07       8.984684350432e-04      -4.772949733611e-07 
   46       1.343354963158e+03       9.364775525483e-02       6.864290825871e-04       1.182324048362e+00       1.355792297740e-07       8.799335144845e-04      -5.420690091233e-07 
   47       1.362673355402e+03       1.003906624468e-01       7.165748995955e-04       1.043199269163e+00       1.351462240536e-07       8.622923442084e-04      -6.187973808790e-07 
   48       1.382199558444e+03       1.074263162148e-01       7.473696859113e-04       8.917867430996e-01       1.347190176124e-07       8.454486686417e-04      -6.969382725799e-07 
   49       1.401912841424e+03       1.147569032589e-01       7.788164612649e-04       7.273417162514e-01       1.342794465152e-07       8.291363151186e-04      -7.630138242735e-07 
   50       1.421785710144e+03       1.223840897423e-01       8.109185397314e-04       5.492035944871e-01       1.337951836195e-07       8.130286592702e-04      -8.043512770297e-07 
   51       1.441831140862e+03       1.303088616136e-01       8.436787422314e-04       3.573435444571e-01       1.332800132767e-07       7.971816501501e-04      -8.228787093068e-07 
   52       1.462065299643e+03       1.385316089881e-01       8.771000221306e-04       1.519571755430e-01       1.327537365672e-07       7.817249442682e-04      -8.263340867205e-07 
   53       1.482492992941e+03       1.470521448864e-01       9.111857107681e-04      -6.668594059964e-02       1.322231912688e-07       7.667334164779e-04      -8.249224439343e-07 
   54       1.503106701481e+03       1.558696847474e-01       9.459395358700e-04      -2.982392743746e-01       1.316786943514e-07       7.522175553234e-04      -8.315720220072e-07 
   55       1.523895208402e+03       1.649830182248e-01       9.813650114502e-04      -5.423875804113e-01       1.311023135479e-07       7.381517861655e-04      -8.586602931632e-07 
   56       1.544874207007e+03       1.743911214877e-01       1.017463387849e-03      -7.992099754935e-01       1.305073542556e-07       7.245960172131e-04      -9.061110684663e-07 
   57       1.566061604401e+03       1.840926611441e-01       1.054235224692e-03      -1.068901809837e+00       1.299111108180e-07       7.116011085254e-04      -9.693834639885e-07 
   58       1.587468013984e+03       1.940858025713e-01       1.091680968841e-03      -1.351672640862e+00       1.293223521226e-07       6.991676745422e-04      -1.042510179002e-06 
   59       1.609096163135e+03       2.043681969212e-01       1.129800948323e-03      -1.647747571463e+00       1.287391335341e-07       6.872389731487e-04      -1.117959865382e-06 
   60       1.630940300892e+03       2.149369681238e-01       1.168595366251e-03      -1.957368588290e+00       1.281464090370e-07       6.756934930191e-04      -1.186494555083e-06 
   61       1.652992095580e+03       2.257887706309e-01       1.208063862992e-03      -2.280734956466e+00       1.275240212680e-07       6.643921426314e-04      -1.239260602056e-06 
   62       1.675261214590e+03       2.369200071889e-01       1.248204101557e-03      -2.617805742013e+00       1.268812907361e-07       6.533567217947e-04      -1.275239479060e-06 
   63       1.697758333899e+03       2.483266371090e-01       1.289012852465e-03      -2.968455136528e+00       1.262330458546e-07       6.426373942297e-04      -1.296026252727e-06 
   64       1.720488677005e+03       2.600040993043e-01       1.330486378099e-03      -3.332528905711e+00       1.255892414445e-07       6.322597453471e-04      -1.303860171735e-06 
   65       1.743451628530e+03       2.719473015390e-01       1.372620412931e-03      -3.709843793945e+00       1.249537524575e-07       6.222214271976e-04      -1.301684324159e-06 
   66       1.766640347829e+03       2.841506096776e-01       1.415410143753e-03      -4.100186928878e+00       1.243230662791e-07       6.124886716608e-04      -1.293207282327e-06 
   67       1.790041382589e+03       2.966078369331e-01       1.458850189898e-03      -4.503315226004e+00       1.236848703827e-07       6.029926718709e-04      -1.282966735208e-06 
   68       1.813641144763e+03       3.093123511461e-01       1.502935329181e-03      -4.918982903817e+00       1.230241559522e-07       5.936582344084e-04      -1.275363045847e-06 
   69       1.837447725819e+03       3.222574458910e-01       1.547662890716e-03      -5.347031834349e+00       1.223480985504e-07       5.845086246516e-04      -1.271263748678e-06 
   70       1.861472828006e+03       3.354360255972e-01       1.593030813651e-03      -5.787318514510e+00       1.216683536645e-07       5.755856402227e-04      -1.270491062072e-06 
   71       1.885725086029e+03       3.488404865801e-01       1.639036943665e-03      -6.239687696655e+00       1.209936611320e-07       5.669183778832e-04      -1.272756242175e-06 
   72       1.910209856160e+03       3.624627093084e-01       1.685679032269e-03      -6.703972512112e+00       1.203291712487e-07       5.585215875218e-04      -1.277649340258e-06 
   73       1.934929005351e+03       3.762940506721e-01       1.732954736102e-03      -7.179994594701e+00       1.196757194053e-07       5.503939669691e-04      -1.284628635511e-06 
   74       1.959880700342e+03       3.903253362499e-01       1.780861616231e-03      -7.667564204258e+00       1.190290477674e-07       5.425163976405e-04      -1.293009743286e-06 
   75       1.985059196775e+03       4.045468525770e-01       1.829397137444e-03      -8.166480350157e+00       1.183789725143e-07       5.348501210060e-04      -1.301954398782e-06 
   76       2.010458554936e+03       4.189485172707e-01       1.878559728725e-03      -8.676521101246e+00       1.177138874577e-07       5.273524198957e-04      -1.310614750055e-06 
   77       2.036085035420e+03       4.335204423155e-01       1.928352189457e-03      -9.197412202604e+00       1.170382951795e-07       5.200329515119e-04      -1.318638527261e-06 
   78       2.061946591235e+03       4.482524599246e-01       1.978778905965e-03      -9.728852933724e+00       1.163599571035e-07       5.129093169492e-04      -1.325780404310e-06 
   79       2.088049013439e+03       4.631339497760e-01       2.029844866167e-03      -1.027052533794e+01       1.156846766538e-07       5.059898876546e-04      -1.331755393814e-06 
   80       2.114395800771e+03       4.781538349267e-01       2.081555680633e-03      -1.082209414473e+01       1.150159064874e-07       4.992728230469e-04      -1.336236095984e-06 
   81       2.140988029278e+03       4.933005777278e-01       2.133917603641e-03      -1.138320669199e+01       1.143543289960e-07       4.927450572135e-04      -1.338849873603e-06 
   82       2.167824221949e+03       5.085621757392e-01       2.186937554237e-03      -1.195349284831e+01       1.136974093867e-07       4.863812546820e-04      -1.339175953074e-06 
   83       2.194900218343e+03       5.239261576444e-01       2.240623137293e-03      -1.253256493528e+01       1.130389206510e-07       4.801427352684e-04      -1.336742451556e-06 
   84       2.222211463839e+03       5.393797831465e-01       2.294981863125e-03      -1.312002386440e+01       1.123719339825e-07       4.739909032017e-04      -1.331210373046e-06 
   85       2.249760599010e+03       5.549106896806e-01       2.350018611590e-03      -1.371547888689e+01       1.117001151954e-07       4.679338932590e-04      -1.322985373961e-06 
   86       2.277550895227e+03       5.705063459207e-01       2.405737784245e-03      -1.431853099071e+01       1.110291980333e-07       4.619894416323e-04      -1.312751809942e-06 
   87       2.305583858525e+03       5.861538566843e-01       2.462144075884e-03      -1.492876700342e+01       1.103635840574e-07       4.561709099921e-04      -1.301305048272e-06 
   88       2.333859139899e+03       6.018399622745e-01       2.519242482124e-03      -1.554575961886e+01       1.097061031272e-07       4.504868232895e-04      -1.289558002744e-06 
   89       2.362374445597e+03       6.175510378240e-01       2.577038306998e-03      -1.616906742394e+01       1.090577591419e-07       4.449403939799e-04      -1.278547817814e-06 
   90       2.391125447417e+03       6.332730926374e-01       2.635537170541e-03      -1.679823492531e+01       1.084174606983e-07       4.395290326692e-04      -1.269442702057e-06 
   91       2.420105693003e+03       6.489917695346e-01       2.694745016379e-03      -1.743279257618e+01       1.077817363176e-07       4.342438451828e-04      -1.263548910918e-06 
   92       2.449306516143e+03       6.646923441938e-01       2.754668119318e-03      -1.807225680297e+01       1.071444338976e-07       4.290691160566e-04      -1.262317878756e-06 
   93       2.478719671332e+03       6.803600435996e-01       2.815311882122e-03      -1.871614180144e+01       1.064992543729e-07       4.239888340161e-04      -1.267007369232e-06 
   94       2.508345885570e+03       6.959810576001e-01       2.876677002358e-03      -1.936399689626e+01       1.058489608738e-07       4.190091455549e-04      -1.277560710443e-06 
   95       2.538187432887e+03       7.115416789812e-01       2.938762740393e-03      -2.001537487586e+01       1.051983204873e-07       4.141399665991e-04      -1.293489130154e-06 
   96       2.568245473067e+03       7.270280015913e-01       3.001568069926e-03      -2.066982090956e+01       1.045513679121e-07       4.093880960542e-04      -1.314189316539e-06 
   97       2.598519999341e+03       7.424259240640e-01       3.065091668954e-03      -2.132687273582e+01       1.039112760821e-07       4.047569343941e-04      -1.338936432854e-06 
   98       2.629009786076e+03       7.577211535420e-01       3.129331910740e-03      -2.198606085052e+01       1.032802194400e-07       4.002461948881e-04      -1.366876976510e-06 
   99       2.659712336468e+03       7.728992094002e-01       3.194286854784e-03      -2.264690869531e+01       1.026592297049e-07       3.958516074651e-04      -1.397021482543e-06 
  100       2.690623830235e+03       7.879454269690e-01       3.259954237788e-03      -2.330893284582e+01       1.020480439751e-07       3.915646152154e-04      -1.428237071481e-06 
  101       2.721739071305e+03       8.028449612580e-01       3.326331464624e-03      -2.397164320004e+01       1.014449450097e-07       3.873720635298e-04      -1.459239841607e-06 
  102       2.753051435509e+03       8.175827906789e-01       3.393415599306e-03      -2.463454316651e+01       1.008465935307e-07       3.832558818767e-04      -1.488587105618e-06 
  103       2.784552818275e+03       8.321437207690e-01       3.461203355951e-03      -2.529712985270e+01       1.002478523880e-07       3.791927582163e-04      -1.514669471680e-06 
  104       2.816235328448e+03       8.465127439118e-01       3.529692868539e-03      -2.595889412598e+01       9.964369000422e-08       3.751611835833e-04      -1.536040636093e-06 
