# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_dcdm           16:gr.fac. D             17:gr.fac. f          
       9.326212236469e+13       8.690109267060e-26       4.969479050487e-09       1.876595376800e+22       1.409911927564e+04       1.511773367166e-10       1.314913787119e+18       2.869287227187e-09       2.081614238068e+44       2.021889389311e+33       1.081335738783e+34       3.760732865345e-08       1.439995970030e+44       3.521610208226e+44       1.082418156939e+31       6.174606894083e-18       2.000000000005e+00 
       9.261382558559e+13       8.812196612153e-26       5.004039849155e-09       1.850596348697e+22       1.409911927564e+04       1.522355780737e-10       1.305773373504e+18       2.889372237778e-09       2.024334923495e+44       1.980017284646e+33       1.058941930560e+34       3.760732865345e-08       1.400371922191e+44       3.424706845811e+44       1.060001932492e+31       6.261353946339e-18       2.000000000004e+00 
       9.197003533823e+13       8.935999162357e-26       5.040419637226e-09       1.824957520492e+22       1.409911927564e+04       1.533012271202e-10       1.296696498018e+18       2.909597843442e-09       1.968631751041e+44       1.939012325909e+33       1.037011884542e+34       3.760732865345e-08       1.361838200436e+44       3.330469951600e+44       1.038049934477e+31       6.349319707931e-18       2.000000000003e+00 
       9.133072029615e+13       9.061541014589e-26       5.074980435893e-09       1.799673901845e+22       1.409911927564e+04       1.543743357100e-10       1.287682718985e+18       2.929965028346e-09       1.914461350357e+44       1.898856555032e+33       1.015535996496e+34       3.760732865345e-08       1.324364802505e+44       3.238826152983e+44       1.016552549045e+31       6.438521300508e-18       2.000000000002e+00 
       9.069584935070e+13       9.188846604302e-26       5.109541234560e-09       1.774740571556e+22       1.409911927564e+04       1.554549560600e-10       1.278731597801e+18       2.950474783544e-09       1.861781544502e+44       1.859532385849e+33       9.945048610832e+33       3.760732865345e-08       1.287922551705e+44       3.149704096326e+44       9.955003614446e+30       6.528976086259e-18       2.000000000001e+00 
       9.006539160943e+13       9.317940710246e-26       5.145921022631e-09       1.750152676602e+22       1.409911927564e+04       1.565431407524e-10       1.269842698908e+18       2.971128107029e-09       1.810551317112e+44       1.821022596392e+33       9.739092677472e+33       3.760732865345e-08       1.252483074190e+44       3.063034391418e+44       9.748841518991e+30       6.620701671295e-18       2.000000000000e+00 
       8.943931639467e+13       9.448848459284e-26       5.182300810702e-09       1.725905431200e+22       1.409911927564e+04       1.576389427377e-10       1.261015589780e+18       2.991926003778e-09       1.760730780460e+44       1.783310321351e+33       9.537401966753e+33       3.760732865345e-08       1.218018776871e+44       2.978749557444e+44       9.546948915668e+30       6.713715909075e-18       2.000000000000e+00 
       8.881759324197e+13       9.581595331288e-26       5.218680598773e-09       1.701994115866e+22       1.409911927564e+04       1.587424153368e-10       1.252249840894e+18       3.012869485804e-09       1.712281144399e+44       1.746379044685e+33       9.339888148495e+33       3.760732865345e-08       1.184502825932e+44       2.896783970443e+44       9.349237385881e+30       6.808036903881e-18       1.999999999999e+00 
       8.820019189868e+13       9.716207164097e-26       5.255060386844e-09       1.678414076505e+22       1.409911927564e+04       1.598536122442e-10       1.243545025714e+18       3.033959572205e-09       1.665164686165e+44       1.710212592391e+33       9.146464721786e+33       3.760732865345e-08       1.151909125938e+44       2.817073812212e+44       9.155620342128e+30       6.903683014344e-18       1.999999999998e+00 
       8.758708232243e+13       9.852710158545e-26       5.291440174915e-09       1.655160723501e+22       1.409911927564e+04       1.609725875299e-10       1.234900720669e+18       3.055197289210e-09       1.619344721000e+44       1.674795125419e+33       8.957046977094e+33       3.760732865345e-08       1.120212299515e+44       2.739557020621e+44       8.966012990084e+30       7.000672857012e-18       1.999999999997e+00 
       8.697823467967e+13       9.991130883563e-26       5.329638952389e-09       1.632229530823e+22       1.409911927564e+04       1.620993956426e-10       1.226316505133e+18       3.076583670235e-09       1.574785573594e+44       1.640111132737e+33       8.771551959171e+33       3.760732865345e-08       1.089387667592e+44       2.664173241290e+44       8.780332291462e+30       7.099025309980e-18       1.999999999996e+00 
       8.637361934426e+13       1.013149628135e-25       5.366018740460e-09       1.609616035145e+22       1.409911927564e+04       1.632340914121e-10       1.217791961403e+18       3.098119755926e-09       1.531452550306e+44       1.606145424536e+33       8.589898430721e+33       3.760732865345e-08       1.059411230189e+44       2.590863780597e+44       8.598496927649e+30       7.198759516560e-18       1.999999999995e+00 
       8.577320689599e+13       1.027383367260e-25       5.404217517935e-09       1.587315834980e+22       1.409911927564e+04       1.643767300520e-10       1.209326674680e+18       3.119806594217e-09       1.489311912151e+44       1.572883125581e+33       8.412006836825e+33       3.760732865345e-08       1.030259647727e+44       2.519571559978e+44       8.420427264089e+30       7.299894889008e-18       1.999999999994e+00 
       8.517696811915e+13       1.041817076187e-25       5.440597306006e-09       1.565324589818e+22       1.409911927564e+04       1.655273671624e-10       1.200920233049e+18       3.141645240377e-09       1.448330848536e+44       1.540309668691e+33       8.237799270095e+33       3.760732865345e-08       1.001910222855e+44       2.450241071488e+44       8.246045315410e+30       7.402451112303e-18       1.999999999994e+00 
       8.458487400115e+13       1.056453564290e-25       5.478796083480e-09       1.543638019285e+22       1.409911927564e+04       1.666860587325e-10       1.192572227457e+18       3.163636757059e-09       1.408477451704e+44       1.508410788364e+33       8.067199436560e+33       3.760732865345e-08       9.743408827823e+43       2.382818334582e+44       8.075274711272e+30       7.506448147979e-18       1.999999999993e+00 
       8.399689573103e+13       1.071295680415e-25       5.518813850358e-09       1.522251902310e+22       1.409911927564e+04       1.678528611436e-10       1.184282251695e+18       3.185782214359e-09       1.369720691902e+44       1.477172514529e+33       7.900132622252e+33       3.760732865345e-08       9.475301620897e+43       2.317250854086e+44       7.908040662915e+30       7.611906238010e-18       1.999999999992e+00 
       8.341300469814e+13       1.086346313429e-25       5.557012627833e-09       1.501162076300e+22       1.409911927564e+04       1.690278311716e-10       1.176049902378e+18       3.208082689859e-09       1.332030393213e+44       1.446581166426e+33       7.736525660482e+33       3.760732865345e-08       9.214571860169e+43       2.253487579321e+44       7.744269930412e+30       7.718845908747e-18       1.999999999991e+00 
       8.283317249071e+13       1.101608392786e-25       5.595211405307e-09       1.480364436334e+22       1.409911927564e+04       1.702110259898e-10       1.167874778926e+18       3.230539268688e-09       1.295377210063e+44       1.416623346613e+33       7.576306899798e+33       3.760732865345e-08       8.961016542097e+43       2.191478864363e+44       7.583890790589e+30       7.827287974919e-18       1.999999999990e+00 
       8.225737089444e+13       1.117084889096e-25       5.635229172185e-09       1.459854934362e+22       1.409911927564e+04       1.714025031718e-10       1.159756483541e+18       3.253153043568e-09       1.259732604377e+44       1.387285935104e+33       7.419406172610e+33       3.760732865345e-08       8.714438249143e+43       2.131176429380e+44       7.426833005615e+30       7.937253543678e-18       1.999999999990e+00 
       8.168557189121e+13       1.132778814703e-25       5.673427949660e-09       1.439629578415e+22       1.409911927564e+04       1.726023206940e-10       1.151694621193e+18       3.275925114873e-09       1.225068823353e+44       1.358556083619e+33       7.265754764452e+33       3.760732865345e-08       8.474644996064e+43       2.072533323046e+44       7.273027792244e+30       8.048764018712e-18       1.999999999989e+00 
       8.111774765760e+13       1.148693224271e-25       5.713445716538e-09       1.419684431832e+22       1.409911927564e+04       1.738105369388e-10       1.143688799595e+18       3.298856590677e-09       1.191358877859e+44       1.330421209958e+33       7.115285383896e+33       3.760732865345e-08       8.241450080431e+43       2.015503885986e+44       7.122407791688e+30       8.161841104411e-18       1.999999999988e+00 
       8.055387056366e+13       1.164831215379e-25       5.753463483416e-09       1.400015612492e+22       1.409911927564e+04       1.750272106974e-10       1.135738629191e+18       3.321948586812e-09       1.158576521413e+44       1.302868992490e+33       6.967932133077e+33       3.760732865345e-08       8.014671937265e+43       1.960043715222e+44       6.974907040117e+30       8.276506810086e-18       1.999999999988e+00 
       7.999391317146e+13       1.181195929124e-25       5.793481250294e-09       1.380619292058e+22       1.409911927564e+04       1.762524011723e-10       1.127843723129e+18       3.345202226919e-09       1.126696229756e+44       1.275887364758e+33       6.823630478836e+33       3.760732865345e-08       7.794133997669e+43       1.906109629604e+44       6.830460939776e+30       8.392783454260e-18       1.999999999987e+00 
       7.943784823382e+13       1.197790550732e-25       5.835318006575e-09       1.361491695232e+22       1.409911927564e+04       1.774861679805e-10       1.120003697248e+18       3.368618642508e-09       1.095693180972e+44       1.249464510194e+33       6.682317224455e+33       3.760732865345e-08       7.579664551354e+43       1.853659636186e+44       6.689006230686e+30       8.510693669008e-18       1.999999999986e+00 
       7.888564869297e+13       1.214618310179e-25       5.875335773453e-09       1.342629099020e+22       1.409911927564e+04       1.787285711563e-10       1.112218170058e+18       3.392198973005e-09       1.065543236164e+44       1.223588856946e+33       6.543930481985e+33       3.760732865345e-08       7.371096612945e+43       1.802652897536e+44       6.550480962948e+30       8.630260404363e-18       1.999999999986e+00 
       7.833728767921e+13       1.231682482819e-25       5.917172529735e-09       1.324027832009e+22       1.409911927564e+04       1.799796711544e-10       1.104486762719e+18       3.415944365816e-09       1.036222920661e+44       1.198249072804e+33       6.408409645135e+33       3.760732865345e-08       7.168267791965e+43       1.753049699933e+44       6.414824469604e+30       8.751506932783e-18       1.999999999985e+00 
       7.779273850965e+13       1.248986390020e-25       5.957190296613e-09       1.305684273648e+22       1.409911927564e+04       1.812395288525e-10       1.096809099026e+18       3.439855976376e-09       1.007709405738e+44       1.173434060244e+33       6.275695362735e+33       3.760732865345e-08       6.971020166400e+43       1.704811422453e+44       6.281977340075e+30       8.874456853681e-18       1.999999999984e+00 
       7.725197468684e+13       1.266533399813e-25       5.999027052894e-09       1.287594853551e+22       1.409911927564e+04       1.825082055545e-10       1.089184805388e+18       3.463934968211e-09       9.799804908440e+43       1.149132951564e+33       6.145729512744e+33       3.760732865345e-08       6.779200159740e+43       1.657900506891e+44       6.151881394138e+30       8.999134098017e-18       1.999999999984e+00 
       7.671496989756e+13       1.284326927547e-25       6.040863809176e-09       1.269756050794e+22       1.409911927564e+04       1.837857629934e-10       1.081613510812e+18       3.488182512988e-09       9.530145863146e+43       1.125335104127e+33       6.018455176790e+33       3.760732865345e-08       6.592658421409e+43       1.612280428527e+44       6.024479656447e+30       9.125562932959e-18       1.999999999983e+00 
       7.618169801148e+13       1.302370436552e-25       6.084519554861e-09       1.252164393233e+22       1.409911927564e+04       1.850722633343e-10       1.074094846884e+18       3.512599790579e-09       9.267906965640e+43       1.102030095697e+33       5.893816615249e+33       3.760732865345e-08       6.411249710473e+43       1.567915667681e+44       5.899716331580e+30       9.253767966603e-18       1.999999999982e+00 
       7.565213307992e+13       1.320667438815e-25       6.126356311142e-09       1.234816456831e+22       1.409911927564e+04       1.863677691777e-10       1.066628447750e+18       3.537187989113e-09       9.012884037369e+43       1.079207719877e+33       5.771759242827e+33       3.760732865345e-08       6.234832782562e+43       1.524771682062e+44       5.777536779607e+30       9.383774152765e-18       1.999999999982e+00 
       7.512624933457e+13       1.339221495663e-25       6.170012056828e-09       1.217708864987e+22       1.409911927564e+04       1.876723435619e-10       1.059213950099e+18       3.561948305036e-09       8.764878518120e+43       1.056857981637e+33       5.652229604663e+33       3.760732865345e-08       6.063270279898e+43       1.482814879869e+44       5.657887492155e+30       9.515606795836e-18       1.999999999981e+00 
       7.460402118627e+13       1.358036218455e-25       6.211848813109e-09       1.200838287881e+22       1.409911927564e+04       1.889860499668e-10       1.051850993147e+18       3.586881943171e-09       8.523697311413e+43       1.034971092939e+33       5.535175352909e+33       3.760732865345e-08       5.896428624344e+43       1.442012593641e+44       5.540716068978e+30       9.649291555709e-18       1.999999999981e+00 
       7.408542322370e+13       1.377115269288e-25       6.255504558794e-09       1.184201441825e+22       1.409911927564e+04       1.903089523166e-10       1.044539218617e+18       3.611990116773e-09       8.289152634162e+43       1.013537468451e+33       5.420545223814e+33       3.760732865345e-08       5.734177913402e+43       1.402333054821e+44       5.425971195009e+30       9.784854452774e-18       1.999999999980e+00 
       7.357043021222e+13       1.396462361706e-25       6.299160304479e-09       1.167795088625e+22       1.409911927564e+04       1.916411149828e-10       1.037278270722e+18       3.637274047590e-09       8.061061870468e+43       9.925477213436e+32       5.308289015265e+33       3.760732865345e-08       5.576391819075e+43       1.363745369017e+44       5.313602617883e+30       9.922321872980e-18       1.999999999980e+00 
       7.305901709257e+13       1.416081261426e-25       6.344635039568e-09       1.151616034950e+22       1.409911927564e+04       1.929826027877e-10       1.030067796149e+18       3.662734965923e-09       7.839247429430e+43       9.719926591863e+32       5.198357564806e+33       3.760732865345e-08       5.422947489502e+43       1.326219491955e+44       5.203561125932e+30       1.006172057297e-17       1.999999999979e+00 
       7.255115897971e+13       1.435975787068e-25       6.388290785253e-09       1.135661131711e+22       1.409911927564e+04       1.943334810072e-10       1.022907444041e+18       3.688374110685e-09       7.623536606878e+43       9.518632799168e+32       5.090702728104e+33       3.760732865345e-08       5.273725453313e+43       1.289726206080e+44       5.095798526630e+30       1.020307768530e-17       1.999999999978e+00 
       7.204683116158e+13       1.456149810900e-25       6.433765520342e-09       1.119927273447e+22       1.409911927563e+04       1.956938153743e-10       1.015796865979e+18       3.714192729459e-09       7.413761450905e+43       9.321507679003e+32       4.985277357867e+33       3.760732865345e-08       5.128609526601e+43       1.254237097810e+44       4.990267625492e+30       1.034642072370e-17       1.999999999978e+00 
       7.154600909790e+13       1.476607259593e-25       6.477421266027e-09       1.104411397720e+22       1.409911927563e+04       1.970636720819e-10       1.008735715967e+18       3.740192078565e-09       7.209758631098e+43       9.128464900685e+32       4.882035283195e+33       3.760732865345e-08       4.987486722469e+43       1.219724535415e+44       4.886922205400e+30       1.049177758844e-17       1.999999999977e+00 
       7.104866841896e+13       1.497352114983e-25       6.522896001115e-09       1.089110484523e+22       1.409911927563e+04       1.984431177864e-10       1.001723650414e+18       3.766373423115e-09       7.011369311369e+43       8.939419921386e+32       4.780931289359e+33       3.760732865345e-08       4.850247163053e+43       1.186161647499e+44       4.785717006366e+30       1.063917657178e-17       1.999999999977e+00 
       7.055478492449e+13       1.518388414846e-25       6.568370736204e-09       1.074021555688e+22       1.409911927563e+04       1.998322196110e-10       9.947603281172e+17       3.792738037076e-09       6.818439026289e+43       8.754289949111e+32       4.681921098001e+33       3.760732865345e-08       4.716783993974e+43       1.153522302082e+44       4.686607705707e+30       1.078864636344e-17       1.999999999976e+00 
       7.006433458242e+13       1.539720253686e-25       6.615664460696e-09       1.059141674306e+22       1.409911927563e+04       2.012310451482e-10       9.878454102455e+17       3.819287203336e-09       6.630817560821e+43       8.572993906435e+32       4.584961347739e+33       3.760732865345e-08       4.586993301144e+43       1.121781086251e+44       4.589550898637e+30       1.094021605620e-17       1.999999999976e+00 
       6.957729352772e+13       1.561351783530e-25       6.661139195785e-09       1.044467944158e+22       1.409911927563e+04       2.026396624643e-10       9.809785603232e+17       3.846022213759e-09       6.448358833359e+43       8.395452394997e+32       4.490009575179e+33       3.760732865345e-08       4.460774029851e+43       1.090913286374e+44       4.494504079258e+30       1.109391515157e-17       1.999999999975e+00 
       6.909363806129e+13       1.583287214737e-25       6.708432920277e-09       1.029997509152e+22       1.409911927563e+04       2.040581401015e-10       9.741594442137e+17       3.872944369255e-09       6.270920781994e+43       8.221587660731e+32       4.397024196320e+33       3.760732865345e-08       4.338027906086e+43       1.060894868860e+44       4.401425621942e+30       1.124977356553e-17       1.999999999975e+00 
       6.861334464875e+13       1.605530816817e-25       6.755726644769e-09       1.015727552764e+22       1.409911927563e+04       2.054865470822e-10       9.673877301030e+17       3.900054979839e-09       6.098365253901e+43       8.051323559808e+32       4.305964488339e+33       3.760732865345e-08       4.218659360024e+43       1.031702461444e+44       4.310274763102e+30       1.140782163435e-17       1.999999999974e+00 
       6.813638991932e+13       1.628086919262e-25       6.803020369262e-09       1.001655297490e+22       1.409911927563e+04       2.069249529118e-10       9.606630884836e+17       3.927355364698e-09       5.930557897776e+43       7.884585525292e+32       4.216790571759e+33       3.760732865345e-08       4.102575451612e+43       1.003313334989e+44       4.221011583342e+30       1.156809012049e-17       1.999999999974e+00 
       6.766275066466e+13       1.650959912391e-25       6.850314093754e-09       9.877780043072e+21       1.409911927563e+04       2.083734275822e-10       9.539851921386e+17       3.954846852250e-09       5.767368059232e+43       7.721300534483e+32       4.129463392982e+33       3.760732865345e-08       3.989685798209e+43       9.757053857932e+43       4.133596989972e+30       1.173061021859e-17       1.999999999973e+00 
       6.719240383780e+13       1.674154248200e-25       6.897607818246e-09       9.740929721418e+21       1.409911927563e+04       2.098320415753e-10       9.473537161257e+17       3.982530780216e-09       5.608668679066e+43       7.561397076938e+32       4.043944707186e+33       3.760732865345e-08       3.879902504213e+43       9.488571183760e+43       4.047992699886e+30       1.189541356155e-17       1.999999999973e+00 
