# Matter power spectrum P(k) at redshift z=0
# for k=1.02334e-05 to 10.5702 h/Mpc,
# number of wavenumbers equal to 615
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.306260712760e-02       2.558770577178e+04 
       1.318842028650e-02       2.563417117265e+04 
       1.331426944583e-02       2.567852539387e+04 
       1.344015467815e-02       2.571949324239e+04 
       1.356607607950e-02       2.575889064266e+04 
       1.369203376894e-02       2.579663831387e+04 
       1.381802788820e-02       2.583223684872e+04 
       1.394405860131e-02       2.586491847341e+04 
       1.407012609429e-02       2.589649282610e+04 
       1.419623057488e-02       2.592475461489e+04 
       1.432237227228e-02       2.595223790744e+04 
       1.444855143695e-02       2.597766624620e+04 
       1.457476834039e-02       2.600035759559e+04 
       1.470102327500e-02       2.602131570477e+04 
       1.482731655392e-02       2.604051489388e+04 
       1.495364851095e-02       2.605838236174e+04 
       1.508001950044e-02       2.607364795938e+04 
       1.520642989720e-02       2.608779115429e+04 
       1.533288009653e-02       2.609908566272e+04 
       1.545937051412e-02       2.610942161401e+04 
       1.558590158608e-02       2.611741450012e+04 
       1.571247376900e-02       2.612358072080e+04 
       1.583908753992e-02       2.612885699843e+04 
       1.596574339644e-02       2.613192836280e+04 
       1.609244185678e-02       2.613357625248e+04 
       1.621918345989e-02       2.613341030223e+04 
       1.634596876554e-02       2.613123214246e+04 
       1.647279835448e-02       2.612775083910e+04 
       1.659967282859e-02       2.612345299378e+04 
       1.672659281102e-02       2.611638462125e+04 
       1.685355894643e-02       2.610819234406e+04 
       1.698057190111e-02       2.609906710886e+04 
       1.710763236330e-02       2.608777883076e+04 
       1.723474104332e-02       2.607533119868e+04 
       1.736189867393e-02       2.606131801684e+04 
       1.748910601049e-02       2.604534663585e+04 
       1.761636383135e-02       2.602882691944e+04 
       1.774367293808e-02       2.601032579991e+04 
       1.787103415580e-02       2.599079069801e+04 
       1.799844833354e-02       2.596929086202e+04 
       1.812591634458e-02       2.594704422009e+04 
       1.825343908681e-02       2.592345108743e+04 
       1.838101748311e-02       2.589866080288e+04 
       1.850865248178e-02       2.587249760272e+04 
       1.863634505694e-02       2.584518877985e+04 
       1.876409620896e-02       2.581629595871e+04 
       1.889190696491e-02       2.578693619079e+04 
       1.901977837908e-02       2.575519139203e+04 
       1.914771153341e-02       2.572301783499e+04 
       1.927570753802e-02       2.568941345082e+04 
       1.940376753174e-02       2.565504400909e+04 
       1.953189268268e-02       2.561938819056e+04 
       1.966008418873e-02       2.558261043532e+04 
       1.978834327821e-02       2.554534525841e+04 
       1.991667121045e-02       2.550594495989e+04 
       2.004506927642e-02       2.546583132860e+04 
       2.017353879934e-02       2.542515969640e+04 
       2.030208113542e-02       2.538249801120e+04 
       2.043069767448e-02       2.534016230739e+04 
       2.055938984072e-02       2.529605560991e+04 
       2.068815909341e-02       2.525115324513e+04 
       2.081700692767e-02       2.520542674384e+04 
       2.094593487526e-02       2.515869182740e+04 
       2.107494450537e-02       2.511084159326e+04 
       2.120403742547e-02       2.506204313336e+04 
       2.133321528217e-02       2.501302992589e+04 
       2.146247976210e-02       2.496269271422e+04 
       2.159183259283e-02       2.491147690815e+04 
       2.172127554382e-02       2.485955501166e+04 
       2.185081042738e-02       2.480702957738e+04 
       2.198043909970e-02       2.475377946221e+04 
       2.211016346185e-02       2.469909516920e+04 
       2.223998546090e-02       2.464430813891e+04 
       2.236990709096e-02       2.458837505834e+04 
       2.249993039438e-02       2.453144238747e+04 
       2.263005746288e-02       2.447409120476e+04 
       2.276029043877e-02       2.441618217578e+04 
       2.289063151621e-02       2.435802374013e+04 
       2.302108294250e-02       2.429833741905e+04 
       2.315164701937e-02       2.423845194667e+04 
       2.328232610443e-02       2.417793624478e+04 
       2.341312261248e-02       2.411641483765e+04 
       2.354403901706e-02       2.405460828162e+04 
       2.367507785192e-02       2.399228538408e+04 
       2.380624171257e-02       2.392929256834e+04 
       2.393753325789e-02       2.386571002748e+04 
       2.406895521181e-02       2.380128809075e+04 
       2.420051036499e-02       2.373665123251e+04 
       2.433220157662e-02       2.367147844805e+04 
       2.446403177622e-02       2.360575985706e+04 
       2.459600396553e-02       2.354062438425e+04 
       2.472812122049e-02       2.347292714604e+04 
       2.486038669323e-02       2.340553205979e+04 
       2.499280361414e-02       2.333764172251e+04 
       2.512537529407e-02       2.326970535541e+04 
       2.525810512652e-02       2.320104406511e+04 
       2.539099658994e-02       2.313209695283e+04 
       2.552405325013e-02       2.306270953052e+04 
       2.565727876273e-02       2.299257375015e+04 
       2.579067687571e-02       2.292226316445e+04 
       2.592425143206e-02       2.285160301731e+04 
       2.605800637249e-02       2.278084004476e+04 
       2.619194573831e-02       2.270941262889e+04 
       2.632607367429e-02       2.263789048952e+04 
       2.646039443177e-02       2.256608001653e+04 
       2.659491237176e-02       2.249347972761e+04 
       2.672963196822e-02       2.242089685807e+04 
       2.686455781144e-02       2.234816462454e+04 
       2.699969461155e-02       2.227441009736e+04 
       2.713504720213e-02       2.220064849135e+04 
       2.727062054404e-02       2.212744566919e+04 
       2.740641972928e-02       2.205303941001e+04 
       2.754244998510e-02       2.197887790617e+04 
       2.767871667818e-02       2.190424934686e+04 
       2.781522531903e-02       2.182920826309e+04 
       2.795198156658e-02       2.175443281744e+04 
       2.808899123286e-02       2.167920554927e+04 
       2.822626028794e-02       2.160323034450e+04 
       2.836379486506e-02       2.152772436667e+04 
       2.850160126594e-02       2.145144049719e+04 
       2.863968596632e-02       2.137537368354e+04 
